feature,coefficient,abs_coefficient
sales_lag_7,52.52222513873883,52.52222513873883
sales_lag_14,45.280042433400816,45.280042433400816
sales_rolling_mean_7,29.756986250317517,29.756986250317517
sales_lag_28,28.228427720550098,28.228427720550098
sales_rolling_mean_28,26.965242776904486,26.965242776904486
is_weekend,11.328380725199942,11.328380725199942
month,6.790347591576625,6.790347591576625
onpromotion,6.49147942030573,6.49147942030573
sales_rolling_std_7,-6.223241790879673,6.223241790879673
quarter,-6.19400647470151,6.19400647470151
day,-3.933728928114921,3.933728928114921
is_month_start,2.387424609786397,2.387424609786397
dayofweek,-2.0694699005082695,2.0694699005082695
family_encoded,-2.0083724550386526,2.0083724550386526
is_month_end,0.7098210655718101,0.7098210655718101
is_holiday,0.15877776307682173,0.15877776307682173
